paso,cuenta,equipo,accion,resultado_esperado,hora_inicio,hora_fin,minutos,resultado,texto_observado,evidencia,observaciones
P0.1,operador,Cloud Shell,clase.sh estado / iniciar,clase lista y enlace …/empezar,,,,,,,
P0.2,operador,PowerShell ventana 1,$B y $INICIO; /api/health,"tunnel, relay, agente conectado, modelo vivo, sal configurada",,,,,,,
P0.3,operador,PC 1,abrir /empezar,Editor en la nube: Encendido; Tutor (modelo): Disponible,,,,,,,
P0.4,operador,PowerShell ventana 2,$B y $INICIO otra vez; piloto:monitor corriendo,"bloque 0, worker ok, sin ALERTA",,,,,,,
P1.1,E1,PC 1,instalar la extensión desde /empezar (arranca T10),"Instalada, lista (version 0.7.11)",,,,,,,
P1.2,E1,PC 1,iniciar sesión en el overlay,sin cuentas demo; encabezado con nombre y rol,,,,,,,
P1.3,E1,PC 1,tarjeta Accion recomendada,un solo botón Conectar GitHub; GitHub App No requerida,,,,,,,
P1.4,E1,PC 1,Conectar GitHub y OAuth,misma ventana prepara y pasa a github.com/login/device con el código,,,,,,,
P1.5,E1,PC 1,autorizar el código,vscode.dev/tunnel/ad-<login> con los archivos,,,,,,,
P1.6,E1,PC 1,barra de estado de VS Code (para T10),ADACEEN: <nombre> sin tocar nada,,,,,,,
P1.7,E1,PC 1,seleccionar código,Sugerencia para la seleccion; VS Code conectado en el overlay,,,,,,,
P1.1,E2,PC 2,instalar la extensión desde /empezar (arranca T10),"Instalada, lista (version 0.7.11)",,,,,,,
P1.2,E2,PC 2,iniciar sesión en el overlay,sin cuentas demo; encabezado con nombre y rol,,,,,,,
P1.3,E2,PC 2,tarjeta Accion recomendada,un solo botón Conectar GitHub; GitHub App No requerida,,,,,,,
P1.4,E2,PC 2,Conectar GitHub y OAuth,misma ventana prepara y pasa a github.com/login/device con el código,,,,,,,
P1.5,E2,PC 2,autorizar el código,vscode.dev/tunnel/ad-<login> con los archivos,,,,,,,
P1.6,E2,PC 2,barra de estado de VS Code (para T10),ADACEEN: <nombre> sin tocar nada,,,,,,,
P1.7,E2,PC 2,seleccionar código,Sugerencia para la seleccion; VS Code conectado en el overlay,,,,,,,
P1.8,E2,PC 2,ls /home/ws-<login A> en la terminal de E2,Permission denied; nombre propio en la barra,,,,,,,
P2.1,E1,"PC 1, segundo navegador",iniciar sesión otra vez,nueva sesión; el primer navegador puede pedir entrar de nuevo,,,,,,,
P2.2,E1,PC 1,seleccionar código en vscode.dev,sigue ADACEEN: <nombre>; sin advertencia de sesión,,,,,,,
P2.3,operador,PowerShell ventana 1,piloto:monitor --una-vez,eventos > 0; sin alerta de sesiones sin usuario,,,,,,,
P3.1,E1,"PC 1, segundo navegador y vscode.dev",Salir donde está la sesión vigente y seleccionar código,una advertencia con Conectar; ADACEEN: sin conectar,,,,,,,
P3.2,E1,PC 1,entrar y Abrir mi editor; operador guarda $RECONEXION,vscode.dev sin código de dispositivo; barra ADACEEN: <nombre> sola,,,,,,,
P3.3,E1,PC 1,cerrar el navegador sin Salir y volver,overlay entra directo; un clic en Abrir mi editor,,,,,,,
P3.4,E1,PC 1,VM apagada y Abrir mi editor (opcional),El editor esta apagado; avisa al docente; la espera sigue,,,,,,,
P4.1,E2,Mac,Preparar-Mac-ADACEEN.command (arranca T10 de la Mac),listo: esta Mac ya esta preparada para ADACEEN,,,,,,,
P4.2,E2,Mac,Abrir en VS Code de este equipo,clona o abre la carpeta,,,,,,,
P4.3,E2,Mac,barra de VS Code (para T10 de la Mac),ADACEEN: VS Code quedó conectado; ADACEEN: <nombre>,,,,,,,
P5.1,D,PC del docente,Asignar grupos A y B,cohortes de E1 y E2; semilla,,,,,,,
P5.2,"D, E1, E2",todos,Iniciar bloque 1,grupo B ve el aviso sin tutor; grupo A recibe ayuda,,,,,,,
P5.3,"D, E1, E2",todos,Iniciar bloque 2,papeles al revés,,,,,,,
P5.4,D,PC del docente,Terminar piloto,Sin piloto activo; monitor bloque 0,,,,,,,
P6.1,"operador, E1",Cloud Shell y PC 1,caso 8: detener el agente,workspace_agent_online false en 60 s o menos; la espera sigue,,,,,,,
P6.2,"operador, E1",Cloud Shell y PC 1,caso 8: arrancar el agente,el editor abre solo,,,,,,,
P6.3,operador,Cloud Shell,caso 1: apagar la GPU (con un solo servidor vivo),worker CAIDO en 2 min o menos; GPU: sin worker activo,,,,,,,
P6.4,operador,Cloud Shell,caso 2: clase.sh iniciar,worker ok,,,,,,,
P7.1,operador,PowerShell ventana 2,mirar el monitor,ninguna alerta de sesiones sin usuario antes de P3.1,,,,,,,
P7.2,operador,PowerShell ventana 1,piloto:monitor --una-vez desde $RECONEXION,anonymousClientSessions = 0 en exportes/monitor-p7.jsonl,,,,,,,
P7.3,operador,PowerShell ventana 1,piloto:verificar,código de salida 0,,,,,,,
P7.4,operador,PowerShell ventana 1,telemetria:exportar y piloto:dataset (opcional),D2 solo entre P3.1 y P3.2,,,,,,,
P8.1,operador,Cloud Shell,clase.sh terminar,VMs apagadas,,,,,,,
P8.2,operador,repositorio,evidencias y pendientes,registro de despliegue lleno,,,,,,,
