respuesta,CMP1,CMP2,AB1,AB2,AB3
1,Igual,Con tutor,Las pistas sin darme el código,Las fuentes del curso,
2,Igual,Con tutor,Cuando el mensaje era muy largo,Las pistas sin darme el código,
3,Con tutor,Sin tutor,Que respondiera más rápido,,
4,Con tutor,Con tutor,Las fuentes del curso,Las pistas sin darme el código,
5,Con tutor,Con tutor,Las pistas sin darme el código,Las fuentes del curso,
6,Igual,Con tutor,Que respondiera más rápido,Las fuentes del curso,
7,Sin tutor,Sin tutor,Las fuentes del curso,Las pistas sin darme el código,
8,Igual,Con tutor,Cuando el mensaje era muy largo,,
9,Con tutor,Sin tutor,Las pistas sin darme el código,Las fuentes del curso,
10,Con tutor,Con tutor,,Las pistas sin darme el código,
11,Igual,Con tutor,,Las pistas sin darme el código,
