id,area,item,critico,verificacion,estado,evidencia,responsable,fecha
C01,privacidad,Cada participante firmó el consentimiento informado vigente antes de su primera sesión.,si,manual,cumple,sintética,ensayo,2026-09-25
C02,privacidad,La telemetría seudonimiza al estudiante con HMAC-SHA256 y una sal secreta configurada en el servidor.,si,automatica,cumple,sintética,ensayo,2026-09-25
C03,privacidad,"La telemetría no guarda textos de error, código, rutas ni correos: solo hashes y metadatos de una lista blanca.",si,automatica,cumple,sintética,ensayo,2026-09-25
C04,privacidad,"La exportación del dataset no tiene identificadores en claro (ni id de usuario, ni correo, ni nombre).",no,automatica,cumple,sintética,ensayo,2026-09-25
C05,privacidad,La lista que une nombres con cohortes A y B solo la ve el docente en la aplicación y no se exporta.,no,manual,cumple,sintética,ensayo,2026-09-25
C06,privacidad,La retención de la telemetría está definida y hay un procedimiento de purga.,no,automatica,cumple,sintética,ensayo,2026-09-25
C07,privacidad,"Un participante puede retirarse y pedir que se borren sus datos; el procedimiento está escrito.",no,manual,cumple,sintética,ensayo,2026-09-25
C08,privacidad,Solo el investigador y el director tienen acceso a la base del piloto y a las exportaciones.,no,manual,cumple,sintética,ensayo,2026-09-25
C09,privacidad,"La extensión de navegador pide los permisos mínimos (sin tabs, sin localhost ni comodines amplios en producción).",no,automatica,cumple,sintética,ensayo,2026-09-25
C10,privacidad,La política de privacidad está publicada y tiene versión.,no,automatica,cumple,sintética,ensayo,2026-09-25
C11,etica,La participación es voluntaria y no participar no afecta la nota del curso.,si,manual,cumple,sintética,ensayo,2026-09-25
C12,etica,El bloque sin tutor no pone en desventaja a nadie: las actividades del piloto no son calificables o se califican igual para las dos cohortes.,si,manual,cumple,sintética,ensayo,2026-09-25
C13,etica,"Si hay participantes menores de 18 años, hay autorización del acudiente además de su asentimiento.",no,manual,no aplica,sintética,ensayo,2026-09-25
C14,etica,"El protocolo, los instrumentos y el consentimiento tienen el aval del director (y del comité de ética si la facultad lo exige).",no,manual,cumple,sintética,ensayo,2026-09-25
C15,etica,Los estudiantes saben que el tutor es una inteligencia artificial que puede equivocarse y que no entrega soluciones completas.,no,manual,cumple,sintética,ensayo,2026-09-25
C16,etica,El tutor no entrega la solución completa: los guardarraíles pasan las pruebas de escenarios.,no,manual,cumple,sintética,ensayo,2026-09-25
C17,seguridad,Los secretos no están en el repositorio: .env no se versiona y las exportaciones están en .gitignore.,si,automatica,cumple,sintética,ensayo,2026-09-25
C18,seguridad,El backend de producción solo se usa por HTTPS.,no,automatica,cumple,sintética,ensayo,2026-09-25
C19,seguridad,El latido de los workers exige token.,no,automatica,cumple,sintética,ensayo,2026-09-25
C20,seguridad,Las cuentas de demostración no entran en producción.,si,automatica,cumple,sintética,ensayo,2026-09-25
C21,seguridad,La base del piloto es PostgreSQL gestionada (no la base en memoria).,no,automatica,cumple,sintética,ensayo,2026-09-25
C22,seguridad,Las VMs de GPU y de editores no tienen IP pública y se administran por IAP.,no,manual,no cumple,sintética,ensayo,2026-09-25
C23,seguridad,El equipo conoce el plan de soporte y el de contingencia antes de la primera sesión.,no,manual,cumple,sintética,ensayo,2026-09-25
C24,seguridad,Las sesiones de VS Code (tipo editor) vencen en 30 días como máximo y «Salir» en el navegador las revoca.,no,automatica,cumple,sintética,ensayo,2026-09-25
C25,seguridad,Los códigos para vincular VS Code son de un solo uso y en la base solo se guarda su hash.,no,automatica,cumple,sintética,ensayo,2026-09-25
C26,seguridad,"En la VM de editores, el archivo editor-session.json de cada estudiante tiene permisos 600 y es de su usuario ws-<login>.",no,manual,cumple,sintética,ensayo,2026-09-25
C27,seguridad,"Ningún secreto llega al entorno del estudiante en la VM de editores: ni el token del agente ni el secreto del worker, y la metadata de la VM está bloqueada para los usuarios ws-*.",si,manual,cumple,sintética,ensayo,2026-09-25
C28,privacidad,"En las Mac del laboratorio no quedan copias locales con secretos o con el trabajo de los estudiantes: el adaceen-mac.env copiado al Escritorio o a Descargas se borra al instalar, y los repositorios clonados en el equipo se borran al terminar el piloto.",no,manual,cumple,sintética,ensayo,2026-09-25
C29,privacidad,"En los equipos compartidos del laboratorio cada estudiante cierra su sesión al terminar: «Salir» en el overlay y, en VS Code, «Desconectar este equipo».",no,manual,cumple,sintética,ensayo,2026-09-25
C30,seguridad,"El worker de las Mac del laboratorio solo abre conexiones de salida (HTTPS 443) y Ollama escucha solo en 127.0.0.1; los nodos de un clúster de Mac solo van en una red aislada.",no,manual,no aplica,sintética,ensayo,2026-09-25
